image_path,xmin,ymin,xmax,ymax,label
/Users/tompitts/dphil/canopyAI/data/tcd/archive_raw_test/tcd_tile_0.tif,238,988,1613,1773,Tree
/Users/tompitts/dphil/canopyAI/data/tcd/archive_raw_test/tcd_tile_0.tif,521,977,564,1018,Tree
/Users/tompitts/dphil/canopyAI/data/tcd/archive_raw_test/tcd_tile_0.tif,0,1073,134,1295,Tree
/Users/tompitts/dphil/canopyAI/data/tcd/archive_raw_test/tcd_tile_0.tif,0,831,120,1075,Tree
/Users/tompitts/dphil/canopyAI/data/tcd/archive_raw_test/tcd_tile_0.tif,386,499,458,652,Tree
/Users/tompitts/dphil/canopyAI/data/tcd/archive_raw_test/tcd_tile_0.tif,1764,953,1846,1059,Tree
/Users/tompitts/dphil/canopyAI/data/tcd/archive_raw_test/tcd_tile_0.tif,1656,997,1694,1042,Tree
/Users/tompitts/dphil/canopyAI/data/tcd/archive_raw_test/tcd_tile_0.tif,1633,1639,1799,1877,Tree
/Users/tompitts/dphil/canopyAI/data/tcd/archive_raw_test/tcd_tile_0.tif,1798,1646,1866,1717,Tree
/Users/tompitts/dphil/canopyAI/data/tcd/archive_raw_test/tcd_tile_0.tif,1799,1706,1861,1772,Tree
/Users/tompitts/dphil/canopyAI/data/tcd/archive_raw_test/tcd_tile_0.tif,1816,1769,1864,1849,Tree
/Users/tompitts/dphil/canopyAI/data/tcd/archive_raw_test/tcd_tile_0.tif,1823,1856,1883,1916,Tree
/Users/tompitts/dphil/canopyAI/data/tcd/archive_raw_test/tcd_tile_0.tif,1786,1922,1910,2037,Tree
/Users/tompitts/dphil/canopyAI/data/tcd/archive_raw_test/tcd_tile_0.tif,1499,1746,1573,1839,Tree
/Users/tompitts/dphil/canopyAI/data/tcd/archive_raw_test/tcd_tile_0.tif,1505,1859,1632,1947,Tree
/Users/tompitts/dphil/canopyAI/data/tcd/archive_raw_test/tcd_tile_0.tif,1506,1580,1645,1738,Tree
/Users/tompitts/dphil/canopyAI/data/tcd/archive_raw_test/tcd_tile_0.tif,1458,1951,1557,2047,Tree
/Users/tompitts/dphil/canopyAI/data/tcd/archive_raw_test/tcd_tile_0.tif,1727,1463,1893,1585,Tree
/Users/tompitts/dphil/canopyAI/data/tcd/archive_raw_test/tcd_tile_0.tif,1780,1575,1827,1639,Tree
/Users/tompitts/dphil/canopyAI/data/tcd/archive_raw_test/tcd_tile_0.tif,1744,1577,1782,1612,Tree
/Users/tompitts/dphil/canopyAI/data/tcd/archive_raw_test/tcd_tile_0.tif,570,1772,725,1995,Tree
/Users/tompitts/dphil/canopyAI/data/tcd/archive_raw_test/tcd_tile_0.tif,862,1720,980,1855,Tree
/Users/tompitts/dphil/canopyAI/data/tcd/archive_raw_test/tcd_tile_0.tif,702,1995,842,2047,Tree
/Users/tompitts/dphil/canopyAI/data/tcd/archive_raw_test/tcd_tile_0.tif,862,1966,902,2016,Tree
/Users/tompitts/dphil/canopyAI/data/tcd/archive_raw_test/tcd_tile_0.tif,822,1961,850,1989,Tree
/Users/tompitts/dphil/canopyAI/data/tcd/archive_raw_test/tcd_tile_0.tif,910,1902,964,1958,Tree
/Users/tompitts/dphil/canopyAI/data/tcd/archive_raw_test/tcd_tile_0.tif,730,1776,867,1987,Tree
/Users/tompitts/dphil/canopyAI/data/tcd/archive_raw_test/tcd_tile_0.tif,1049,1682,1215,1862,Tree
/Users/tompitts/dphil/canopyAI/data/tcd/archive_raw_test/tcd_tile_0.tif,1097,1878,1156,1938,Tree
/Users/tompitts/dphil/canopyAI/data/tcd/archive_raw_test/tcd_tile_0.tif,1018,1920,1034,1934,Tree
/Users/tompitts/dphil/canopyAI/data/tcd/archive_raw_test/tcd_tile_0.tif,977,1945,990,1961,Tree
/Users/tompitts/dphil/canopyAI/data/tcd/archive_raw_test/tcd_tile_0.tif,978,1925,988,1935,Tree
