image_path,xmin,ymin,xmax,ymax,label
/Users/tompitts/dphil/canopyAI/data/won/raw/won_tile_0.tif,55,56,109,101,Tree
/Users/tompitts/dphil/canopyAI/data/won/raw/won_tile_0.tif,51,104,97,146,Tree
/Users/tompitts/dphil/canopyAI/data/won/raw/won_tile_0.tif,55,1,92,52,Tree
/Users/tompitts/dphil/canopyAI/data/won/raw/won_tile_0.tif,4,12,35,48,Tree
/Users/tompitts/dphil/canopyAI/data/won/raw/won_tile_0.tif,173,1,207,35,Tree
/Users/tompitts/dphil/canopyAI/data/won/raw/won_tile_0.tif,324,0,358,46,Tree
/Users/tompitts/dphil/canopyAI/data/won/raw/won_tile_0.tif,271,0,302,25,Tree
/Users/tompitts/dphil/canopyAI/data/won/raw/won_tile_0.tif,359,0,399,29,Tree
/Users/tompitts/dphil/canopyAI/data/won/raw/won_tile_0.tif,111,49,171,104,Tree
/Users/tompitts/dphil/canopyAI/data/won/raw/won_tile_0.tif,160,74,234,128,Tree
/Users/tompitts/dphil/canopyAI/data/won/raw/won_tile_0.tif,119,120,157,169,Tree
/Users/tompitts/dphil/canopyAI/data/won/raw/won_tile_0.tif,0,127,36,170,Tree
/Users/tompitts/dphil/canopyAI/data/won/raw/won_tile_0.tif,0,72,20,116,Tree
/Users/tompitts/dphil/canopyAI/data/won/raw/won_tile_0.tif,0,170,43,226,Tree
/Users/tompitts/dphil/canopyAI/data/won/raw/won_tile_0.tif,175,150,216,209,Tree
/Users/tompitts/dphil/canopyAI/data/won/raw/won_tile_0.tif,240,127,274,173,Tree
/Users/tompitts/dphil/canopyAI/data/won/raw/won_tile_0.tif,418,32,450,70,Tree
/Users/tompitts/dphil/canopyAI/data/won/raw/won_tile_0.tif,366,76,407,125,Tree
/Users/tompitts/dphil/canopyAI/data/won/raw/won_tile_0.tif,377,32,414,73,Tree
/Users/tompitts/dphil/canopyAI/data/won/raw/won_tile_0.tif,302,73,369,140,Tree
/Users/tompitts/dphil/canopyAI/data/won/raw/won_tile_0.tif,392,103,437,159,Tree
/Users/tompitts/dphil/canopyAI/data/won/raw/won_tile_0.tif,344,187,372,230,Tree
/Users/tompitts/dphil/canopyAI/data/won/raw/won_tile_0.tif,277,167,339,220,Tree
/Users/tompitts/dphil/canopyAI/data/won/raw/won_tile_0.tif,206,194,250,246,Tree
/Users/tompitts/dphil/canopyAI/data/won/raw/won_tile_0.tif,104,262,158,313,Tree
/Users/tompitts/dphil/canopyAI/data/won/raw/won_tile_0.tif,145,227,181,281,Tree
/Users/tompitts/dphil/canopyAI/data/won/raw/won_tile_0.tif,45,274,72,307,Tree
/Users/tompitts/dphil/canopyAI/data/won/raw/won_tile_0.tif,0,258,33,316,Tree
/Users/tompitts/dphil/canopyAI/data/won/raw/won_tile_0.tif,0,208,54,255,Tree
/Users/tompitts/dphil/canopyAI/data/won/raw/won_tile_0.tif,357,400,394,444,Tree
/Users/tompitts/dphil/canopyAI/data/won/raw/won_tile_0.tif,266,457,335,499,Tree
/Users/tompitts/dphil/canopyAI/data/won/raw/won_tile_0.tif,187,438,249,487,Tree
/Users/tompitts/dphil/canopyAI/data/won/raw/won_tile_0.tif,251,352,309,401,Tree
/Users/tompitts/dphil/canopyAI/data/won/raw/won_tile_0.tif,313,279,351,323,Tree
/Users/tompitts/dphil/canopyAI/data/won/raw/won_tile_0.tif,63,467,113,499,Tree
/Users/tompitts/dphil/canopyAI/data/won/raw/won_tile_0.tif,129,421,170,462,Tree
/Users/tompitts/dphil/canopyAI/data/won/raw/won_tile_0.tif,182,410,211,448,Tree
/Users/tompitts/dphil/canopyAI/data/won/raw/won_tile_0.tif,217,404,249,445,Tree
/Users/tompitts/dphil/canopyAI/data/won/raw/won_tile_0.tif,322,420,365,462,Tree
/Users/tompitts/dphil/canopyAI/data/won/raw/won_tile_0.tif,371,247,423,288,Tree
/Users/tompitts/dphil/canopyAI/data/won/raw/won_tile_0.tif,407,359,445,420,Tree
/Users/tompitts/dphil/canopyAI/data/won/raw/won_tile_0.tif,277,231,315,273,Tree
/Users/tompitts/dphil/canopyAI/data/won/raw/won_tile_0.tif,214,282,257,330,Tree
/Users/tompitts/dphil/canopyAI/data/won/raw/won_tile_0.tif,166,355,209,406,Tree
/Users/tompitts/dphil/canopyAI/data/won/raw/won_tile_0.tif,125,407,159,438,Tree
/Users/tompitts/dphil/canopyAI/data/won/raw/won_tile_0.tif,107,386,144,418,Tree
/Users/tompitts/dphil/canopyAI/data/won/raw/won_tile_0.tif,63,346,120,399,Tree
/Users/tompitts/dphil/canopyAI/data/won/raw/won_tile_0.tif,3,333,50,382,Tree
/Users/tompitts/dphil/canopyAI/data/won/raw/won_tile_0.tif,50,443,91,484,Tree
/Users/tompitts/dphil/canopyAI/data/won/raw/won_tile_0.tif,10,412,63,465,Tree
/Users/tompitts/dphil/canopyAI/data/won/raw/won_tile_0.tif,11,374,46,408,Tree
/Users/tompitts/dphil/canopyAI/data/won/raw/won_tile_0.tif,454,70,487,112,Tree
/Users/tompitts/dphil/canopyAI/data/won/raw/won_tile_0.tif,461,132,499,185,Tree
/Users/tompitts/dphil/canopyAI/data/won/raw/won_tile_0.tif,415,303,467,344,Tree
/Users/tompitts/dphil/canopyAI/data/won/raw/won_tile_0.tif,237,251,289,299,Tree
/Users/tompitts/dphil/canopyAI/data/won/raw/won_tile_10.tif,238,2,306,46,Tree
/Users/tompitts/dphil/canopyAI/data/won/raw/won_tile_10.tif,183,103,217,140,Tree
/Users/tompitts/dphil/canopyAI/data/won/raw/won_tile_10.tif,235,84,292,129,Tree
/Users/tompitts/dphil/canopyAI/data/won/raw/won_tile_10.tif,228,131,291,173,Tree
/Users/tompitts/dphil/canopyAI/data/won/raw/won_tile_10.tif,282,165,322,202,Tree
/Users/tompitts/dphil/canopyAI/data/won/raw/won_tile_10.tif,321,144,362,189,Tree
/Users/tompitts/dphil/canopyAI/data/won/raw/won_tile_10.tif,168,256,228,312,Tree
/Users/tompitts/dphil/canopyAI/data/won/raw/won_tile_10.tif,75,363,125,417,Tree
/Users/tompitts/dphil/canopyAI/data/won/raw/won_tile_10.tif,86,249,133,298,Tree
/Users/tompitts/dphil/canopyAI/data/won/raw/won_tile_10.tif,72,310,118,361,Tree
/Users/tompitts/dphil/canopyAI/data/won/raw/won_tile_10.tif,39,180,89,236,Tree
/Users/tompitts/dphil/canopyAI/data/won/raw/won_tile_10.tif,224,405,280,464,Tree
/Users/tompitts/dphil/canopyAI/data/won/raw/won_tile_10.tif,355,314,401,370,Tree
/Users/tompitts/dphil/canopyAI/data/won/raw/won_tile_10.tif,469,363,499,404,Tree
/Users/tompitts/dphil/canopyAI/data/won/raw/won_tile_10.tif,298,440,346,495,Tree
/Users/tompitts/dphil/canopyAI/data/won/raw/won_tile_10.tif,299,90,349,150,Tree
/Users/tompitts/dphil/canopyAI/data/won/raw/won_tile_10.tif,24,457,109,499,Tree
/Users/tompitts/dphil/canopyAI/data/won/raw/won_tile_10.tif,245,318,290,383,Tree
/Users/tompitts/dphil/canopyAI/data/won/raw/won_tile_10.tif,42,307,78,351,Tree
/Users/tompitts/dphil/canopyAI/data/won/raw/won_tile_10.tif,13,350,58,403,Tree
/Users/tompitts/dphil/canopyAI/data/won/raw/won_tile_11.tif,194,325,265,396,Tree
/Users/tompitts/dphil/canopyAI/data/won/raw/won_tile_11.tif,312,4,365,61,Tree
/Users/tompitts/dphil/canopyAI/data/won/raw/won_tile_11.tif,339,143,388,213,Tree
/Users/tompitts/dphil/canopyAI/data/won/raw/won_tile_11.tif,233,0,267,37,Tree
/Users/tompitts/dphil/canopyAI/data/won/raw/won_tile_11.tif,267,0,296,29,Tree
/Users/tompitts/dphil/canopyAI/data/won/raw/won_tile_11.tif,115,28,166,81,Tree
/Users/tompitts/dphil/canopyAI/data/won/raw/won_tile_11.tif,160,86,191,126,Tree
/Users/tompitts/dphil/canopyAI/data/won/raw/won_tile_11.tif,212,50,255,116,Tree
/Users/tompitts/dphil/canopyAI/data/won/raw/won_tile_11.tif,261,79,292,120,Tree
/Users/tompitts/dphil/canopyAI/data/won/raw/won_tile_11.tif,251,136,292,188,Tree
/Users/tompitts/dphil/canopyAI/data/won/raw/won_tile_11.tif,95,133,143,178,Tree
/Users/tompitts/dphil/canopyAI/data/won/raw/won_tile_11.tif,97,88,162,151,Tree
/Users/tompitts/dphil/canopyAI/data/won/raw/won_tile_11.tif,256,213,290,259,Tree
/Users/tompitts/dphil/canopyAI/data/won/raw/won_tile_11.tif,299,227,335,277,Tree
/Users/tompitts/dphil/canopyAI/data/won/raw/won_tile_11.tif,448,0,488,34,Tree
/Users/tompitts/dphil/canopyAI/data/won/raw/won_tile_11.tif,373,271,408,313,Tree
/Users/tompitts/dphil/canopyAI/data/won/raw/won_tile_11.tif,340,314,386,356,Tree
/Users/tompitts/dphil/canopyAI/data/won/raw/won_tile_11.tif,286,315,329,359,Tree
/Users/tompitts/dphil/canopyAI/data/won/raw/won_tile_11.tif,396,317,441,366,Tree
/Users/tompitts/dphil/canopyAI/data/won/raw/won_tile_11.tif,34,262,85,309,Tree
