image_path,xmin,ymin,xmax,ymax,label
/Users/tompitts/dphil/CanopyAI/manual_annotations/images/2022_LAJA_2_704000_1998000_image_y3200_x4800.png,190,36,346,140,Tree
/Users/tompitts/dphil/CanopyAI/manual_annotations/images/2022_LAJA_2_704000_1998000_image_y3200_x4800.png,212,0,390,62,Tree
/Users/tompitts/dphil/CanopyAI/manual_annotations/images/2022_LAJA_2_704000_1998000_image_y3200_x4800.png,308,268,398,394,Tree
/Users/tompitts/dphil/CanopyAI/manual_annotations/images/2022_LAJA_2_704000_1998000_image_y3200_x4800.png,160,306,310,398,Tree
/Users/tompitts/dphil/CanopyAI/manual_annotations/images/2022_LAJA_2_704000_1998000_image_y3200_x4800.png,168,240,264,322,Tree
/Users/tompitts/dphil/CanopyAI/manual_annotations/images/2022_LAJA_2_704000_1998000_image_y3200_x4800.png,96,290,142,324,Tree
/Users/tompitts/dphil/CanopyAI/manual_annotations/images/2022_LAJA_2_704000_1998000_image_y3200_x4800.png,142,4,180,50,Tree
/Users/tompitts/dphil/CanopyAI/manual_annotations/images/2024_LENO_8_381000_3519000_image_y8400_x6800.png,118,342,238,398,Tree
/Users/tompitts/dphil/CanopyAI/manual_annotations/images/2024_LENO_8_381000_3519000_image_y8400_x6800.png,2,166,60,346,Tree
/Users/tompitts/dphil/CanopyAI/manual_annotations/images/2024_LENO_8_381000_3519000_image_y8400_x6800.png,8,368,100,398,Tree
/Users/tompitts/dphil/CanopyAI/manual_annotations/images/2024_LENO_8_381000_3519000_image_y8400_x6800.png,168,2,250,102,Tree
/Users/tompitts/dphil/CanopyAI/manual_annotations/images/2024_LENO_8_381000_3519000_image_y8400_x6800.png,70,18,148,106,Tree
/Users/tompitts/dphil/CanopyAI/manual_annotations/images/2024_LENO_8_381000_3519000_image_y8400_x6800.png,2,58,52,150,Tree
/Users/tompitts/dphil/CanopyAI/manual_annotations/images/2024_LENO_8_381000_3519000_image_y8400_x6800.png,324,92,398,250,Tree
/Users/tompitts/dphil/CanopyAI/manual_annotations/images/2024_LENO_8_381000_3519000_image_y400_x6400.png,36,50,118,122,Tree
/Users/tompitts/dphil/CanopyAI/manual_annotations/images/2024_LENO_8_381000_3519000_image_y400_x6400.png,0,6,62,62,Tree
/Users/tompitts/dphil/CanopyAI/manual_annotations/images/2024_LENO_8_381000_3519000_image_y400_x6400.png,116,2,218,98,Tree
/Users/tompitts/dphil/CanopyAI/manual_annotations/images/2024_LENO_8_381000_3519000_image_y400_x6400.png,220,8,292,58,Tree
/Users/tompitts/dphil/CanopyAI/manual_annotations/images/2024_LENO_8_381000_3519000_image_y400_x6400.png,312,6,398,84,Tree
/Users/tompitts/dphil/CanopyAI/manual_annotations/images/2024_LENO_8_381000_3519000_image_y400_x6400.png,274,48,346,114,Tree
/Users/tompitts/dphil/CanopyAI/manual_annotations/images/2024_LENO_8_381000_3519000_image_y400_x6400.png,172,80,258,160,Tree
/Users/tompitts/dphil/CanopyAI/manual_annotations/images/2024_LENO_8_381000_3519000_image_y400_x6400.png,62,304,132,364,Tree
/Users/tompitts/dphil/CanopyAI/manual_annotations/images/2024_LENO_8_381000_3519000_image_y400_x6400.png,58,268,102,314,Tree
/Users/tompitts/dphil/CanopyAI/manual_annotations/images/2024_LENO_8_381000_3519000_image_y400_x6400.png,8,292,56,374,Tree
/Users/tompitts/dphil/CanopyAI/manual_annotations/images/2024_LENO_8_381000_3519000_image_y400_x6400.png,104,212,230,324,Tree
/Users/tompitts/dphil/CanopyAI/manual_annotations/images/2024_LENO_8_381000_3519000_image_y400_x6400.png,240,258,322,336,Tree
/Users/tompitts/dphil/CanopyAI/manual_annotations/images/2024_LENO_8_381000_3519000_image_y400_x6400.png,234,332,302,394,Tree
/Users/tompitts/dphil/CanopyAI/manual_annotations/images/2024_LENO_8_381000_3519000_image_y400_x6400.png,168,334,216,394,Tree
/Users/tompitts/dphil/CanopyAI/manual_annotations/images/2024_LENO_8_381000_3519000_image_y400_x6400.png,302,348,396,400,Tree
/Users/tompitts/dphil/CanopyAI/manual_annotations/images/2024_LENO_8_381000_3519000_image_y400_x6400.png,338,232,396,324,Tree
/Users/tompitts/dphil/CanopyAI/manual_annotations/images/2024_LENO_8_381000_3519000_image_y400_x6400.png,344,122,396,218,Tree
/Users/tompitts/dphil/CanopyAI/manual_annotations/images/2024_LENO_8_381000_3519000_image_y400_x6400.png,352,72,396,116,Tree
/Users/tompitts/dphil/CanopyAI/manual_annotations/images/2024_LENO_8_381000_3519000_image_y400_x6400.png,238,110,336,218,Tree
/Users/tompitts/dphil/CanopyAI/manual_annotations/images/2024_LENO_8_381000_3519000_image_y400_x6400.png,130,126,168,192,Tree
/Users/tompitts/dphil/CanopyAI/manual_annotations/images/2024_LENO_8_381000_3519000_image_y400_x6400.png,32,132,100,188,Tree
/Users/tompitts/dphil/CanopyAI/manual_annotations/images/2024_LENO_8_381000_3519000_image_y400_x6400.png,14,220,60,290,Tree
/Users/tompitts/dphil/CanopyAI/manual_annotations/images/2025_CLBJ_9_635000_3691000_image_y5600_x4000.png,,,,,
/Users/tompitts/dphil/CanopyAI/manual_annotations/images/2025_CLBJ_9_635000_3691000_image_y4800_x800.png,,,,,
/Users/tompitts/dphil/CanopyAI/manual_annotations/images/OAES_2021_OAES_5_496000_3906000_image_y8800_x7600.png,224,280,350,396,Tree
/Users/tompitts/dphil/CanopyAI/manual_annotations/images/OAES_2021_OAES_5_496000_3906000_image_y8800_x7600.png,240,16,322,108,Tree
/Users/tompitts/dphil/CanopyAI/manual_annotations/images/OAES_2021_OAES_5_496000_3906000_image_y8800_x7600.png,38,234,142,318,Tree
/Users/tompitts/dphil/CanopyAI/manual_annotations/images/OAES_2021_OAES_5_496000_3906000_image_y8800_x7600.png,120,268,194,344,Tree
/Users/tompitts/dphil/CanopyAI/manual_annotations/images/OAES_2021_OAES_5_496000_3906000_image_y8800_x7600.png,54,140,140,236,Tree
/Users/tompitts/dphil/CanopyAI/manual_annotations/images/OAES_2021_OAES_5_496000_3906000_image_y8800_x7600.png,138,144,220,210,Tree
/Users/tompitts/dphil/CanopyAI/manual_annotations/images/OAES_2021_OAES_5_496000_3906000_image_y8800_x7600.png,188,220,256,288,Tree
/Users/tompitts/dphil/CanopyAI/manual_annotations/images/OAES_2021_OAES_5_496000_3906000_image_y8800_x7600.png,284,108,384,198,Tree
/Users/tompitts/dphil/CanopyAI/manual_annotations/images/OAES_2021_OAES_5_496000_3906000_image_y8800_x7600.png,320,210,400,302,Tree
/Users/tompitts/dphil/CanopyAI/manual_annotations/images/OAES_2021_OAES_5_496000_3906000_image_y8800_x7600.png,342,340,398,398,Tree
/Users/tompitts/dphil/CanopyAI/manual_annotations/images/OAES_2021_OAES_5_496000_3906000_image_y8800_x7600.png,0,102,60,196,Tree
/Users/tompitts/dphil/CanopyAI/manual_annotations/images/OAES_2021_OAES_5_496000_3906000_image_y8800_x7600.png,144,72,226,140,Tree
/Users/tompitts/dphil/CanopyAI/manual_annotations/images/OAES_2021_OAES_5_496000_3906000_image_y8800_x7600.png,2,212,40,272,Tree
/Users/tompitts/dphil/CanopyAI/manual_annotations/images/OAES_2021_OAES_5_496000_3906000_image_y8800_x7600.png,184,24,234,76,Tree
/Users/tompitts/dphil/CanopyAI/manual_annotations/images/WOOD_2021_WOOD_5_483000_5226000_image_y2400_x4000.png,306,62,336,98,Tree
/Users/tompitts/dphil/CanopyAI/manual_annotations/images/DCFS_2019_WOOD_3_492000_5222000_image_y0_x0.png,22,264,76,316,Tree
/Users/tompitts/dphil/CanopyAI/manual_annotations/images/DCFS_2019_WOOD_3_492000_5222000_image_y0_x0.png,92,118,130,160,Tree
/Users/tompitts/dphil/CanopyAI/manual_annotations/images/DCFS_2019_WOOD_3_492000_5222000_image_y0_x0.png,86,42,104,66,Tree
/Users/tompitts/dphil/CanopyAI/manual_annotations/images/DCFS_2019_WOOD_3_492000_5222000_image_y2000_x800.png,212,68,252,118,Tree
/Users/tompitts/dphil/CanopyAI/manual_annotations/images/DCFS_2019_WOOD_3_492000_5222000_image_y400_x1600.png,302,62,346,106,Tree
/Users/tompitts/dphil/CanopyAI/manual_annotations/images/DCFS_2019_WOOD_3_492000_5222000_image_y400_x1600.png,304,30,346,72,Tree
/Users/tompitts/dphil/CanopyAI/manual_annotations/images/DCFS_2019_WOOD_3_492000_5222000_image_y400_x1600.png,224,68,262,110,Tree
/Users/tompitts/dphil/CanopyAI/manual_annotations/images/DCFS_2019_WOOD_3_492000_5222000_image_y400_x1600.png,150,84,182,116,Tree
/Users/tompitts/dphil/CanopyAI/manual_annotations/images/DCFS_2019_WOOD_3_492000_5222000_image_y400_x1600.png,242,220,268,248,Tree
/Users/tompitts/dphil/CanopyAI/manual_annotations/images/DCFS_2019_WOOD_3_492000_5222000_image_y400_x1600.png,158,2,204,36,Tree
/Users/tompitts/dphil/CanopyAI/manual_annotations/images/DCFS_2019_WOOD_3_492000_5222000_image_y6000_x2400.png,84,348,112,376,Tree
/Users/tompitts/dphil/CanopyAI/manual_annotations/images/DCFS_2019_WOOD_3_494000_5220000_image_y6800_x6000.png,252,234,320,300,Tree
/Users/tompitts/dphil/CanopyAI/manual_annotations/images/DCFS_2019_WOOD_3_494000_5220000_image_y6800_x6000.png,84,62,132,110,Tree
/Users/tompitts/dphil/CanopyAI/manual_annotations/images/DCFS_2019_WOOD_3_494000_5220000_image_y6800_x6000.png,252,6,332,76,Tree
/Users/tompitts/dphil/CanopyAI/manual_annotations/images/DCFS_2019_WOOD_3_494000_5220000_image_y6800_x6000.png,204,16,246,60,Tree
/Users/tompitts/dphil/CanopyAI/manual_annotations/images/DCFS_2019_WOOD_3_494000_5220000_image_y6800_x6000.png,170,32,210,68,Tree
/Users/tompitts/dphil/CanopyAI/manual_annotations/images/NOGP_2019_NOGP_3_352000_5182000_image_y5200_x5600.png,2,364,48,398,Tree
/Users/tompitts/dphil/CanopyAI/manual_annotations/images/NOGP_2019_NOGP_3_352000_5182000_image_y5200_x5600.png,48,362,88,398,Tree
