image_path,xmin,ymin,xmax,ymax,label
/Users/tompitts/dphil/CanopyAI/deepforest_custom/phase5_tiles/bru_tile_456_4000_rot359.tif,119,35,181,108,Tree
/Users/tompitts/dphil/CanopyAI/deepforest_custom/phase5_tiles/bru_tile_456_4000_rot359.tif,1,168,60,263,Tree
/Users/tompitts/dphil/CanopyAI/deepforest_custom/phase5_tiles/bru_tile_456_4000_rot359.tif,147,261,217,348,Tree
/Users/tompitts/dphil/CanopyAI/deepforest_custom/phase5_tiles/bru_tile_456_4000_rot359.tif,315,191,366,227,Tree
/Users/tompitts/dphil/CanopyAI/deepforest_custom/phase5_tiles/bru_tile_456_4000_rot359.tif,293,226,342,268,Tree
/Users/tompitts/dphil/CanopyAI/deepforest_custom/phase5_tiles/bru_tile_856_2000_rot16.tif,307,161,400,302,Tree
/Users/tompitts/dphil/CanopyAI/deepforest_custom/phase5_tiles/bru_tile_1656_2000_rot133.tif,92,150,267,324,Tree
/Users/tompitts/dphil/CanopyAI/deepforest_custom/phase5_tiles/bru_tile_456_3200_rot323.tif,96,0,209,44,Tree
/Users/tompitts/dphil/CanopyAI/deepforest_custom/phase5_tiles/bru_tile_456_3200_rot323.tif,0,231,114,350,Tree
/Users/tompitts/dphil/CanopyAI/deepforest_custom/phase5_tiles/bru_tile_856_4400_rot285.tif,188,95,275,161,Tree
/Users/tompitts/dphil/CanopyAI/deepforest_custom/phase5_tiles/bru_tile_456_2800_rot210.tif,182,5,324,138,Tree
/Users/tompitts/dphil/CanopyAI/deepforest_custom/phase5_tiles/bru_tile_456_2800_rot210.tif,252,0,327,48,Tree
/Users/tompitts/dphil/CanopyAI/deepforest_custom/phase5_tiles/bru_tile_456_2800_rot210.tif,125,382,219,400,Tree
/Users/tompitts/dphil/CanopyAI/deepforest_custom/phase5_tiles/bru_tile_1256_4000_rot100.tif,90,219,156,293,Tree
/Users/tompitts/dphil/CanopyAI/deepforest_custom/phase5_tiles/bru_tile_1256_4000_rot100.tif,177,39,246,103,Tree
/Users/tompitts/dphil/CanopyAI/deepforest_custom/phase5_tiles/bru_tile_1256_4000_rot100.tif,216,291,270,346,Tree
/Users/tompitts/dphil/CanopyAI/deepforest_custom/phase5_tiles/bru_tile_1256_4000_rot100.tif,270,310,331,373,Tree
/Users/tompitts/dphil/CanopyAI/deepforest_custom/phase5_tiles/bru_tile_1256_4000_rot100.tif,23,328,77,381,Tree
/Users/tompitts/dphil/CanopyAI/deepforest_custom/phase5_tiles/bru_tile_1256_4000_rot100.tif,18,22,71,51,Tree
/Users/tompitts/dphil/CanopyAI/deepforest_custom/phase5_tiles/bru_tile_3656_400_rot95.tif,270,332,315,382,Tree
/Users/tompitts/dphil/CanopyAI/deepforest_custom/phase5_tiles/bru_tile_3656_400_rot95.tif,16,180,59,220,Tree
/Users/tompitts/dphil/CanopyAI/deepforest_custom/phase5_tiles/bru_tile_3656_400_rot95.tif,23,359,53,395,Tree
/Users/tompitts/dphil/CanopyAI/deepforest_custom/phase5_tiles/bru_tile_456_2400_rot94.tif,193,63,277,146,Tree
/Users/tompitts/dphil/CanopyAI/deepforest_custom/phase5_tiles/bru_tile_456_2400_rot94.tif,156,87,204,138,Tree
/Users/tompitts/dphil/CanopyAI/deepforest_custom/phase5_tiles/bru_tile_456_2400_rot94.tif,134,114,185,161,Tree
/Users/tompitts/dphil/CanopyAI/deepforest_custom/phase5_tiles/bru_tile_456_2400_rot94.tif,0,123,69,248,Tree
/Users/tompitts/dphil/CanopyAI/deepforest_custom/phase5_tiles/bru_tile_456_2400_rot94.tif,332,313,378,370,Tree
/Users/tompitts/dphil/CanopyAI/deepforest_custom/phase5_tiles/bru_tile_456_2400_rot94.tif,300,8,394,139,Tree
/Users/tompitts/dphil/CanopyAI/deepforest_custom/phase5_tiles/bru_tile_456_2400_rot94.tif,364,221,385,249,Tree
/Users/tompitts/dphil/CanopyAI/deepforest_custom/phase5_tiles/bru_tile_456_2400_rot94.tif,324,221,359,263,Tree
/Users/tompitts/dphil/CanopyAI/deepforest_custom/phase5_tiles/bru_tile_2856_3200_rot279.tif,251,209,365,322,Tree
/Users/tompitts/dphil/CanopyAI/deepforest_custom/phase5_tiles/bru_tile_2856_3200_rot279.tif,17,302,87,379,Tree
/Users/tompitts/dphil/CanopyAI/deepforest_custom/phase5_tiles/bru_tile_2856_3200_rot279.tif,102,305,179,360,Tree
/Users/tompitts/dphil/CanopyAI/deepforest_custom/phase5_tiles/bru_tile_856_1200_rot32.tif,86,0,210,77,Tree
/Users/tompitts/dphil/CanopyAI/deepforest_custom/phase5_tiles/bru_tile_856_1200_rot32.tif,274,17,327,68,Tree
/Users/tompitts/dphil/CanopyAI/deepforest_custom/phase5_tiles/bru_tile_856_1200_rot32.tif,281,62,329,110,Tree
/Users/tompitts/dphil/CanopyAI/deepforest_custom/phase5_tiles/bru_tile_3256_2400_rot75.tif,0,255,90,369,Tree
/Users/tompitts/dphil/CanopyAI/deepforest_custom/phase5_tiles/bru_tile_3256_2400_rot75.tif,48,178,109,255,Tree
/Users/tompitts/dphil/CanopyAI/deepforest_custom/phase5_tiles/bru_tile_3256_2400_rot75.tif,149,323,192,371,Tree
/Users/tompitts/dphil/CanopyAI/deepforest_custom/phase5_tiles/bru_tile_3256_2400_rot75.tif,154,385,189,400,Tree
/Users/tompitts/dphil/CanopyAI/deepforest_custom/phase5_tiles/bru_tile_3256_2000_rot96.tif,71,376,151,400,Tree
/Users/tompitts/dphil/CanopyAI/deepforest_custom/phase5_tiles/bru_tile_3256_2000_rot96.tif,318,109,396,200,Tree
/Users/tompitts/dphil/CanopyAI/deepforest_custom/phase5_tiles/bru_tile_1256_2000_rot82.tif,179,379,290,400,Tree
/Users/tompitts/dphil/CanopyAI/deepforest_custom/phase5_tiles/bru_tile_3256_400_rot113.tif,91,44,186,135,Tree
/Users/tompitts/dphil/CanopyAI/deepforest_custom/phase5_tiles/bru_tile_2856_400_rot11.tif,329,85,379,134,Tree
